station,month,n
aguasdejoi,2012-04,3577
aguasdejoi,2012-05,8927
aguasdejoi,2012-06,8640
aguasdejoi,2012-07,8928
aguasdejoi,2012-08,8928
aguasdejoi,2012-09,8635
aguasdejoi,2012-10,8916
aguasdejoi,2012-11,8639
aguasdejoi,2012-12,8926
aguasdejoi,2013-01,8928
aguasdejoi,2013-02,8064
aguasdejoi,2013-03,8813
aguasdejoi,2013-04,8604
aguasdejoi,2013-05,8928
aguasdejoi,2013-06,8625
aguasdejoi,2013-07,8927
aguasdejoi,2013-08,8928
aguasdejoi,2013-09,8639
aguasdejoi,2013-10,8779
aguasdejoi,2013-11,8634
aguasdejoi,2013-12,8927
aguasdejoi,2014-01,752
aguasdejoi,2014-04,637
aguasdejoi,2014-05,8928
aguasdejoi,2014-06,484
aguasdejoi,2015-01,190
aguasdejoi,2015-09,4166
aguasdejoi,2015-10,8756
aguasdejoi,2015-11,8636
aguasdejoi,2015-12,8928
aguasdejoi,2016-01,8925
aguasdejoi,2016-02,8350
aguasdejoi,2016-03,8927
aguasdejoi,2016-04,8636
aguasdejoi,2016-05,8917
aguasdejoi,2016-06,8640
aguasdejoi,2016-07,8928
aguasdejoi,2016-08,8928
aguasdejoi,2016-09,8640
aguasdejoi,2016-10,8928
aguasdejoi,2016-11,172
aguasdejoi,2017-01,1996
aguasdejoi,2017-02,8064
aguasdejoi,2017-03,7670
aguasdejoi,2017-04,8640
aguasdejoi,2017-05,8928
aguasdejoi,2017-06,8640
aguasdejoi,2017-07,8928
aguasdejoi,2017-08,3220
aguasdejoi,2017-11,156
aguasdejoi,2017-12,8754
aguasdejoi,2018-01,7005
aguasdejoi,2018-07,5412
aguasdejoi,2018-08,3394
aguasdejoi,2019-03,6962
aguasdejoi,2019-04,8508
aguasdejoi,2019-05,8657
aguasdejoi,2019-06,8533
aguasdejoi,2019-07,8637
aguasdejoi,2019-08,8854
aguasdejoi,2019-09,8309
aguasdejoi,2019-10,1029
aguasdejoi,2020-02,2445
aguasdejoi,2020-06,63
aguasdejoi,2020-07,601
aguasdejoi,2020-09,1872
aguasdejoi,2021-08,3455
aguasdejoi,2021-09,7578
aguasdejoi,2021-10,6261
aguasdejoi,2021-11,8640
aguasdejoi,2021-12,5639
aguasdejoi,2022-01,1270
aguasdejoi,2022-02,7511
aguasdejoi,2022-03,8928
aguasdejoi,2022-04,8640
aguasdejoi,2022-05,8928
aguasdejoi,2022-06,7405
aguasdejoi,2022-07,8206
aguasdejoi,2022-08,7904
aguasdejoi,2022-09,7736
aguasdejoi,2022-10,6988
aguasdejoi,2022-11,7813
aguasdejoi,2022-12,7755
aguasdejoi,2023-01,8618
aguasdejoi,2023-02,7492
aguasdejoi,2023-03,8534
aguasdejoi,2023-04,7612
aguasdejoi,2023-05,7382
aguasdejoi,2023-06,6770
aguasdejoi,2023-07,4550
aguasdejoi,2023-08,7133
aguasdejoi,2023-09,8309
aguasdejoi,2023-10,6172
aguasdejoi,2023-11,7630
aguasdejoi,2023-12,8837
aguasdejoi,2024-01,8928
aguasdejoi,2024-02,8352
aguasdejoi,2024-03,8928
aguasdejoi,2024-04,8640
aguasdejoi,2024-05,8343
aguasdejoi,2024-06,8640
aguasdejoi,2024-07,6415
ceasa,2012-04,3569
ceasa,2012-05,8928
ceasa,2012-06,8640
ceasa,2012-07,8928
ceasa,2012-08,8927
ceasa,2012-09,8640
ceasa,2012-10,8279
ceasa,2012-11,8640
ceasa,2012-12,8928
ceasa,2013-01,8928
ceasa,2013-02,8061
ceasa,2013-03,8928
ceasa,2013-04,8640
ceasa,2013-05,8926
ceasa,2013-06,8639
ceasa,2013-07,8928
ceasa,2013-08,4543
ceasa,2013-09,8639
ceasa,2013-10,8915
ceasa,2013-11,8640
ceasa,2013-12,8928
ceasa,2014-01,8928
ceasa,2014-02,8064
ceasa,2014-03,8928
ceasa,2014-04,8638
ceasa,2014-05,8928
ceasa,2014-06,463
ceasa,2014-12,7977
ceasa,2015-01,8928
ceasa,2015-02,8063
ceasa,2015-03,8927
ceasa,2015-04,3161
ceasa,2016-03,4458
ceasa,2016-04,8495
ceasa,2016-05,8926
ceasa,2016-06,8639
ceasa,2016-07,8928
ceasa,2016-08,8928
ceasa,2016-09,8640
ceasa,2016-10,8916
ceasa,2016-11,8640
ceasa,2016-12,8928
ceasa,2017-01,8928
ceasa,2017-02,8064
ceasa,2017-03,8924
ceasa,2017-04,7203
ceasa,2017-05,8927
ceasa,2017-06,8640
ceasa,2017-07,8926
ceasa,2017-08,8928
ceasa,2017-09,8640
ceasa,2017-10,8915
ceasa,2017-11,8640
ceasa,2017-12,8928
ceasa,2018-01,8928
ceasa,2018-02,8064
ceasa,2018-03,8928
ceasa,2018-04,8640
ceasa,2018-05,8928
ceasa,2018-06,8640
ceasa,2018-07,7884
ceasa,2018-08,6243
ceasa,2018-09,8640
ceasa,2018-10,8928
ceasa,2018-11,8628
ceasa,2018-12,1580
ceasa,2019-11,7065
ceasa,2019-12,8928
ceasa,2020-01,8928
ceasa,2020-02,8352
ceasa,2020-03,8928
ceasa,2020-04,8640
ceasa,2020-05,8928
ceasa,2020-06,8640
