date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,level_max,level_min,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean
2011-01-18,,,,,,,,,,,,,,22.0,,,,
2011-01-19,,,,,,,,,,,,,,24.0,,,,
2011-01-20,,,,,,,,,,,,,,24.0,,,,
2011-01-21,,,,,,,,,,,,,,24.0,,,,
2011-01-22,,,,,,,,,,,,,,24.0,,,,
2011-01-23,,,,,,,,,,,,,,24.0,,,,
2011-01-24,,,,,,,,,,,,,,24.0,,,,
2011-01-25,,,,,,,,,,,,,,24.0,,,,
2011-01-26,,,,,,,,,,,,,,24.0,,,,
2011-01-27,,,,,,,,,,,,,,24.0,,,,
2011-01-28,,,,,,,,,,,,,,24.0,,,,
2011-01-29,,,,,,,,,,,,,,24.0,,,,
2011-01-30,,,,,,,,,,,,,,24.0,,,,
2011-01-31,,,,,,,,,,,,,,24.0,,,,
2011-02-01,,,,,,,,,,,,,,24.0,,,,
2011-02-02,,,,,,,,,,,,,,24.0,,,,
2011-02-03,,,,,,,,,,,,,,24.0,,,,
2011-02-04,,,,,,,,,,,,,,24.0,,,,
2011-02-05,,,,,,,,,,,,,,24.0,,,,
2011-02-06,,,,,,,,,,,,,,24.0,,,,
2011-02-07,,,,,,,,,,,,,,24.0,,,,
2011-02-08,,,,,,,,,,,,,,24.0,,,,
2011-02-09,,,,,,,,,,,,,,24.0,,,,
2011-02-10,,,,,,,,,,,,,,24.0,,,,
2011-02-11,,,,,,,,,,,,,,24.0,,,,
2011-02-12,,,,,,,,,,,,,,24.0,,,,
2011-02-13,,,,,,,,,,,,,,24.0,,,,
2011-02-14,,,,,,,,,,,,,,24.0,,,,
2011-02-15,,,,,,,,,,,,,,24.0,,,,
2011-02-16,,,,,,,,,,,,,,24.0,,,,
2011-02-17,,,,,,,,,,,,,,24.0,,,,
2011-02-18,,,,,,,,,,,,,,24.0,,,,
2011-02-19,,,,,,,,,,,,,,24.0,,,,
2011-02-20,,,,,,,,,,,,,,24.0,,,,
2011-02-21,,,,,,,,,,,,,,24.0,,,,
2011-02-22,,,,,,,,,,,,,,24.0,,,,
2011-02-23,,,,,,,,,,,,,,24.0,,,,
2011-02-24,,,,,,,,,,,,,,24.0,,,,
2011-02-25,,,,,,,,,,,,,,24.0,,,,
2011-02-26,,,,,,,,,,,,,,24.0,,,,
2011-02-27,,,,,,,,,,,,,,24.0,,,,
2011-02-28,,,,,,,,,,,,,,24.0,,,,
2011-03-01,,,,,,,,,,,,,,10.0,,,,
2011-04-07,,,,,,,,,,,,,,3.0,22.353333333333335,80.02333333333333,0.2137962962962963,
2011-04-08,,,,,,,,,,,,,,24.0,23.934583333333336,75.10000000000001,0.3299884259259259,
2011-04-09,30.42,18.1,92.9,47.17,,,,,1.085783,0.223184,,,,24.0,21.769166666666667,80.41291666666667,0.3353703703703704,
2011-04-10,26.47,18.87,91.0,55.13,,,,,1.1797279999999999,0.6470897,,,,24.0,20.691666666666666,83.91791666666667,0.28199074074074076,
2011-04-11,25.72,17.6,94.8,61.39,,,,,1.537672,0.6318298,,,,24.0,21.93625,80.52416666666666,0.28283564814814816,
2011-04-12,28.14,16.95,94.9,53.73,,,,,1.085967,0.2510314,,,,24.0,21.88875,86.31916666666666,0.28641203703703705,
2011-04-13,28.04,17.9,95.7,62.48,,,,,1.008699,0.4284416,,,,24.0,24.022499999999997,76.15708333333333,0.2796527777777778,
2011-04-14,30.71,18.59,93.7,49.24,,,,,0.9806414999999999,0.3268983,,,,24.0,26.25125,75.31083333333333,0.3413888888888889,
2011-04-15,34.45,20.36,93.3,45.89,,,,,1.7333349999999998,-0.07559506,,,,24.0,23.627916666666668,82.00833333333334,0.3493402777777778,
2011-04-16,28.6,20.07,94.4,58.38,,,,,1.5446520000000001,0.4042117,,,,24.0,24.735833333333332,80.56833333333333,0.369375,
2011-04-17,31.57,20.15,93.3,55.16,,,,,1.153758,0.1406555,,,,24.0,24.152916666666666,83.54833333333333,0.2959259259259259,
2011-04-18,28.84,21.65,92.5,66.64,,,,,1.2880669999999999,0.4706762,,,,24.0,26.01125,80.55875,0.34412037037037035,
2011-04-19,32.12,22.07,93.2,59.52,,,,,0.9352170999999999,0.1671711,,,,24.0,22.338333333333335,87.60833333333333,0.26004629629629633,
2011-04-20,23.21,21.25,93.7,78.14,,,,,1.100355,0.8277384999999999,,,,24.0,24.172083333333333,81.56666666666666,0.3041203703703704,
2011-04-21,30.32,20.61,93.9,55.44,,,,,0.9218712,0.1861183,,,,24.0,23.256249999999998,88.38416666666666,0.2557291666666667,
2011-04-22,26.15,20.92,94.0,72.79,,,,,1.576193,0.6050829,,,,24.0,25.152916666666666,80.98916666666666,0.27114583333333336,
