date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,pressure_mean,solar_mean
2011-03-16,28.4,20.54,89.6,51.69,,,,,,,,,,,,,
2011-03-17,30.22,18.37,99.7,47.28,,,,,,,,,,,,,
2011-03-18,29.31,20.22,98.9,51.81,,,,,,,,,,,,,
2011-03-19,34.77,21.36,99.4,50.97,,,,,,,,,,,,,
2011-03-20,27.06,20.81,99.5,60.33,,,,,,,,,,,,,
2011-03-21,24.3,19.77,96.3,74.12,,,,,,,,,,,,,
2011-03-22,28.55,19.18,99.7,58.73,,,,,,,,,,,,,
2011-03-23,28.23,21.41,99.8,58.25,,,,,,,,,,,,,
2011-03-24,29.08,21.56,100.0,72.34,,,,,,,,,,,,,
2011-03-25,32.63,22.5,99.9,59.68,,,,,,,,,,,,,
2011-03-26,27.12,22.57,99.7,78.56,,,,,,,,,,,,,
2011-03-27,30.74,21.28,100.0,73.06,,,,,,,,,,,,,
2011-03-28,32.39,20.84,99.8,54.92,,,,,,,,,,,,,
2011-03-29,30.19,20.99,99.6,72.59,,,,,,,,,,,,,
2011-03-30,24.77,19.53,100.0,83.1,,,,,,,,,,,,,
2011-03-31,23.53,17.98,100.0,80.9,,,,,,,,,,,,,
2011-04-01,26.76,19.6,100.0,73.35,,,,,,,,,,,,,
2011-04-02,27.44,20.47,100.0,71.05,,,,,,,,,,,,,
2011-04-03,27.81,20.9,100.0,77.7,,,,,,,,,,,,,
2011-04-04,29.27,19.0,100.0,52.66,,,,,,,,,,,,,
2011-04-05,29.53,19.3,100.0,60.59,,,,,,,,,,,,,
2011-04-06,32.95,18.33,99.9,36.7,,,,,,,,,,,,,
2011-04-07,30.97,18.01,98.9,41.35,,,,,,,,,,,,,
2011-04-08,28.38,15.98,99.1,48.05,,,,,,,,,,,,,
2011-04-09,30.52,18.48,99.5,48.66,,,,,,,,,,,,,
2011-04-10,27.33,18.62,98.3,56.1,,,,,,,,,,,,,
2011-04-11,27.06,17.39,99.9,62.08,,,,,,,,,,,,,
2011-04-12,29.13,17.47,100.0,53.13,,,,,,,,,,,,,
2011-04-13,29.94,18.05,100.0,59.95,,,,,,,,,,,,,
2011-04-14,31.02,18.49,99.8,52.09,,,,,,,,,,,,,
2011-04-15,34.47,20.19,99.6,49.41,,,,,,,,,,,,,
2011-04-16,30.38,19.82,100.0,58.9,,,,,,,,,,,,,
2011-04-17,32.23,20.08,99.6,54.71,,,,,,,,,,,,,
2011-04-18,30.83,22.13,96.0,62.58,,,,,,,,,,,,,
2011-04-19,33.4,22.13,98.2,61.08,,,,,,,,,,,,,
2011-04-20,23.9,21.63,98.7,81.5,,,,,,,,,,,,,
2011-04-21,30.5,20.95,99.9,57.28,,,,,,,,,,,,,
2011-04-22,26.34,21.19,99.8,77.6,,,,,,,,,,,,,
2011-04-23,33.29,19.82,100.0,47.47,,,,,,,,,,,,,
2011-04-24,30.22,20.78,100.0,72.58,,,,,,,,,,,,,
2011-04-25,24.13,19.54,96.9,74.89,,,,,,,,,,,,,
2011-04-26,28.5,19.08,97.3,56.07,,,,,,,,,,,,,
2011-04-27,28.18,16.73,100.0,50.14,,,,,,,,,,,,,
2011-04-28,26.94,17.9,100.0,68.97,,,,,,,,,,,,,
2011-04-29,20.94,18.43,100.0,91.7,,,,,,,,,,,,,
2011-04-30,27.57,18.31,100.0,64.19,,,,,,,,,,,,,
2011-05-01,26.09,17.71,100.0,69.38,,,,,,,,,,,,,
2011-05-02,29.87,19.69,100.0,60.05,,,,,,,,,,,,,
2011-05-03,26.85,15.74,85.0,38.02,,,,,,,,,,,,,
2011-05-04,26.85,13.4,90.2,41.33,,,,,,,,,,,,,
2011-05-05,28.14,16.73,98.8,53.54,,,,,,,,,,,,,
2011-05-06,28.68,14.06,100.0,41.56,,,,,,,,,,,,,
2011-05-07,31.91,15.2,98.5,39.52,,,,,,,,,,,,,
2011-05-08,24.21,19.45,95.7,72.84,,,,,,,,,,,,,
2011-05-09,29.54,17.3,100.0,57.45,,,,,,,,,,,,,
2011-05-10,23.71,18.45,97.6,65.38,,,,,,,,,,,,,
2011-05-11,23.3,17.65,99.4,75.88,,,,,,,,,,,,,
2011-05-12,29.04,18.67,100.0,62.15,,,,,,,,,,,,,
2011-05-13,27.57,19.18,100.0,62.68,,,,,,,,,,,,,
2011-05-14,24.93,19.1,95.7,62.42,,,,,,,,,,,,,
2011-05-15,21.87,17.35,100.0,76.71,,,,,,,,,,,,,
2011-05-16,19.95,16.26,100.0,82.2,,,,,,,,,,,,,
2011-05-17,19.97,15.32,99.5,84.1,,,,,,,,,,,,,
2011-05-18,23.97,12.42,100.0,52.95,,,,,,,,,,,,,
2011-05-19,22.77,12.6,99.2,60.91,,,,,,,,,,,,,
2011-05-20,23.41,14.33,100.0,65.25,,,,,,,,,,,,,
2011-05-21,23.73,16.39,100.0,74.67,,,,,,,,,,,,,
2011-05-22,25.47,17.81,100.0,70.47,,,,,,,,,,,,,
2011-05-23,26.33,16.62,100.0,66.9,,,,,,,,,,,,,
2011-05-24,28.21,17.06,100.0,62.18,,,,,,,,,,,,,
2011-05-25,25.25,19.66,99.7,80.2,,,,,,,,,,,,,
2011-05-26,26.86,19.2,100.0,66.33,,,,,,,,,,,,,
2011-05-27,26.17,17.89,100.0,66.87,,,,,,,,,,,,,
2011-05-28,23.65,16.69,98.8,55.34,,,,,,,,,,,,,
2011-05-29,24.34,12.32,99.1,38.97,,,,,,,,,,,,,
2011-05-30,24.38,10.48,99.8,40.62,,,,,,,,,,,,,
2011-05-31,23.83,9.99,98.9,37.18,,,,,,,,,,,,,
2011-06-01,24.77,11.34,97.9,45.03,,,,,,,,,,,,,
2011-06-02,24.67,11.35,99.8,44.11,,,,,,,,,,,,,
2011-06-03,23.95,12.28,99.8,59.04,,,,,,,,,,,,,
2011-06-24,23.74,19.88,99.4,80.2,,,,,,,,,,,,,
2011-06-25,19.22,17.63,100.0,97.8,,,,,,,,,,,,,
2011-06-26,24.38,17.19,100.0,70.63,,,,,,,,,,,,,
2011-06-27,18.46,11.45,100.0,68.13,,,,,,,,,,,,,
2011-06-28,20.13,5.4,94.0,28.01,,,,,,,,,,,,,
2011-06-29,21.41,4.33,88.3,21.0,,,,,,,,,,,,,
2011-06-30,14.25,9.18,100.0,73.47,,,,,,,,,,,,,
