date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean
2011-03-15,28.74,20.46,99.8,61.57,,,,,,,,,,,,
2011-03-16,26.65,19.06,95.3,55.12,,,,,,,,,,,,
2011-03-17,29.72,15.67,100.0,42.11,,,,,,,,,,,,
2011-03-18,28.84,18.92,99.8,50.85,,,,,,,,,,,,
2011-03-19,32.96,19.73,98.9,55.52,,,,,,,,,,,,
2011-03-20,25.13,18.9,98.7,65.36,,,,,,,,,,,,
2011-03-21,23.12,18.26,97.1,72.79,,,,,,,,,,,,
2011-03-22,26.41,18.62,99.0,60.57,,,,,,,,,,,,
2011-03-23,27.08,20.5,99.9,67.03,,,,,,,,,,,,
2011-03-24,29.08,20.36,99.9,68.28,,,,,,,,,,,,
2011-03-25,32.34,22.05,99.4,59.61,,,,,,,,,,,,
2011-03-26,25.72,22.09,98.9,78.02,,,,,,,,,,,,
2011-03-27,30.47,20.3,100.0,67.85,,,,,,,,,,,,
2011-03-28,30.65,19.26,100.0,54.53,,,,,,,,,,,,
2011-03-29,28.42,20.9,98.9,72.4,,,,,,,,,,,,
2011-03-30,24.47,18.99,99.7,81.0,,,,,,,,,,,,
2011-03-31,23.03,17.69,99.4,77.67,,,,,,,,,,,,
2011-04-01,26.22,18.85,99.4,69.37,,,,,,,,,,,,
2011-04-02,26.24,19.68,99.9,76.15,,,,,,,,,,,,
2011-04-03,25.98,19.4,100.0,79.22,,,,,,,,,,,,
2011-04-04,27.93,17.55,100.0,52.38,,,,,,,,,,,,
2011-04-05,28.92,18.06,100.0,59.5,,,,,,,,,,,,
2011-04-06,30.74,16.52,100.0,39.87,,,,,,,,,,,,
2011-04-07,28.64,16.36,99.5,48.96,,,,,,,,,,,,
2011-04-09,29.83,16.44,100.0,49.41,,,,,,,,,,,,
2011-04-10,25.49,17.44,99.4,59.41,,,,,,,,,,,,
2011-04-11,25.47,16.83,99.6,62.37,,,,,,,,,,,,
2011-04-12,27.96,15.3,100.0,56.85,,,,,,,,,,,,
2011-04-13,26.99,16.69,100.0,66.48,,,,,,,,,,,,
2011-04-14,28.83,16.74,100.0,54.51,,,,,,,,,,,,
2011-04-15,34.08,18.03,99.9,48.19,,,,,,,,,,,,
2011-04-16,29.55,18.57,99.8,54.36,,,,,,,,,,,,
2011-04-17,31.45,18.83,100.0,56.03,,,,,,,,,,,,
2011-04-18,27.55,21.1,97.8,69.04,,,,,,,,,,,,
2011-04-19,31.06,21.39,98.5,63.47,,,,,,,,,,,,
2011-04-20,22.6,20.31,99.9,88.8,,,,,,,,,,,,
2011-04-21,29.23,20.16,99.1,58.72,,,,,,,,,,,,
2011-04-22,25.63,20.0,99.7,78.7,,,,,,,,,,,,
2011-04-23,32.41,18.26,100.0,50.76,,,,,,,,,,,,
2011-04-24,28.91,20.16,100.0,62.71,,,,,,,,,,,,
2011-04-25,21.81,18.41,98.7,78.59,,,,,,,,,,,,
2011-04-26,27.75,18.19,98.7,58.23,,,,,,,,,,,,
2011-04-27,25.97,14.4,100.0,51.96,,,,,,,,,,,,
2011-04-28,24.63,16.58,100.0,66.91,,,,,,,,,,,,
2011-04-29,20.91,17.64,99.3,88.8,,,,,,,,,,,,
2011-04-30,25.62,17.35,100.0,67.07,,,,,,,,,,,,
2011-05-01,24.35,17.17,100.0,72.13,,,,,,,,,,,,
2011-05-02,30.11,17.88,100.0,55.73,,,,,,,,,,,,
2011-05-03,25.36,16.86,94.9,38.22,,,,,,,,,,,,
2011-05-04,25.31,9.85,99.1,41.32,,,,,,,,,,,,
2011-05-05,25.54,14.27,100.0,57.74,,,,,,,,,,,,
2011-05-06,27.8,11.62,100.0,43.45,,,,,,,,,,,,
2011-05-07,29.28,12.15,100.0,45.71,,,,,,,,,,,,
2011-05-08,22.47,18.31,98.7,78.82,,,,,,,,,,,,
2011-05-09,29.96,15.28,100.0,54.47,,,,,,,,,,,,
2011-05-10,22.29,17.23,98.5,70.4,,,,,,,,,,,,
2011-05-11,21.33,16.93,99.4,81.1,,,,,,,,,,,,
2011-05-12,28.16,16.28,100.0,64.05,,,,,,,,,,,,
2011-05-13,25.7,17.31,100.0,72.88,,,,,,,,,,,,
2011-05-14,22.41,17.43,97.8,64.94,,,,,,,,,,,,
2011-05-15,20.52,16.4,99.9,78.01,,,,,,,,,,,,
2011-05-16,19.22,15.62,100.0,78.71,,,,,,,,,,,,
2011-05-17,19.84,14.15,97.4,75.16,,,,,,,,,,,,
