"TOA5","24170","CR300","24170","CR300.Std.10.02","CPU:HIDRO_DIVOBRAS_V6.CR300","36164","DIVOBRAS_5"
"TIMESTAMP","RECORD","Chuva_Tot","Nivel","Nivel_Max","Nivel_TMx","Nivel_Min","Nivel_TMn"
"TS","RN","mm","Metros","Metros","","Metros",""
"","","Tot","Smp","Max","TMx","Min","TMn"
"2026-05-10 04:55:00",514170,0,"NAN","NAN","2026-05-10 04:55:00","NAN","2026-05-10 04:55:00"
"2026-05-10 05:00:00",514171,0,"NAN","NAN","2026-05-10 05:00:00","NAN","2026-05-10 05:00:00"
"2026-05-10 05:05:00",514172,0,"NAN","NAN","2026-05-10 05:05:00","NAN","2026-05-10 05:05:00"
"2026-05-10 05:10:00",514173,0,"NAN","NAN","2026-05-10 05:10:00","NAN","2026-05-10 05:10:00"
"2026-05-10 05:15:00",514174,0,"NAN","NAN","2026-05-10 05:15:00","NAN","2026-05-10 05:15:00"
"2026-05-10 05:20:00",514175,0,"NAN","NAN","2026-05-10 05:20:00","NAN","2026-05-10 05:20:00"
"2026-05-10 05:25:00",514176,0,"NAN","NAN","2026-05-10 05:25:00","NAN","2026-05-10 05:25:00"
"2026-05-10 05:30:00",514177,0,"NAN","NAN","2026-05-10 05:30:00","NAN","2026-05-10 05:30:00"
"2026-05-10 05:35:00",514178,0,"NAN","NAN","2026-05-10 05:35:00","NAN","2026-05-10 05:35:00"
"2026-05-10 05:40:00",514179,0,"NAN","NAN","2026-05-10 05:40:00","NAN","2026-05-10 05:40:00"
"2026-05-10 05:45:00",514180,0,"NAN","NAN","2026-05-10 05:45:00","NAN","2026-05-10 05:45:00"
"2026-05-10 05:50:00",514181,0,"NAN","NAN","2026-05-10 05:50:00","NAN","2026-05-10 05:50:00"
"2026-05-10 05:55:00",514182,0,"NAN","NAN","2026-05-10 05:55:00","NAN","2026-05-10 05:55:00"
"2026-05-10 06:00:00",514183,0,"NAN","NAN","2026-05-10 06:00:00","NAN","2026-05-10 06:00:00"
"2026-05-10 06:05:00",514184,0,"NAN","NAN","2026-05-10 06:05:00","NAN","2026-05-10 06:05:00"
"2026-05-10 06:10:00",514185,0,"NAN","NAN","2026-05-10 06:10:00","NAN","2026-05-10 06:10:00"
"2026-05-10 06:15:00",514186,0,"NAN","NAN","2026-05-10 06:15:00","NAN","2026-05-10 06:15:00"
"2026-05-10 06:20:00",514187,0,"NAN","NAN","2026-05-10 06:20:00","NAN","2026-05-10 06:20:00"
"2026-05-10 06:25:00",514188,0,"NAN","NAN","2026-05-10 06:25:00","NAN","2026-05-10 06:25:00"
"2026-05-10 06:30:00",514189,0,"NAN","NAN","2026-05-10 06:30:00","NAN","2026-05-10 06:30:00"
"2026-05-10 06:35:00",514190,0,"NAN","NAN","2026-05-10 06:35:00","NAN","2026-05-10 06:35:00"
