"TOA5","24170","CR300","24170","CR300.Std.10.02","CPU:HIDRO_DIVOBRAS_V6.CR300","36164","DIVOBRAS_CONTROLE"
"TIMESTAMP","RECORD","Bateria_Min","UR_caixa_Min","UR_caixa_TMn","UR_caixa_Max","UR_caixa_TMx","Temp_Int_Max"
"TS","RN","Volts","%","","%","","Deg C"
"","","Min","Min","TMn","Max","TMx","Max"
"2026-08-03 00:00:00",929,12.58,50.79,"2026-08-02 12:57:00",85.5,"2026-08-02 22:32:00",40.25
"2026-08-04 00:00:00",930,12.56,53.61,"2026-08-03 12:33:00",84.9,"2026-08-03 02:29:00",37.45
"2026-08-05 00:00:00",931,12.56,61.79,"2026-08-04 14:42:00",82.3,"2026-08-04 05:12:00",32
"2026-08-06 00:00:00",932,12.53,71.15,"2026-08-05 10:45:30",84.3,"2026-08-05 23:18:30",26.6
"2026-08-07 00:00:00",933,12.51,56.04,"2026-08-06 11:14:30",91,"2026-08-06 22:09:00",36.63
"2026-08-08 00:00:00",934,12.51,53.2,"2026-08-07 11:46:30",89.8,"2026-08-07 23:48:00",39.51
"2026-08-09 00:00:00",935,12.59,64.06,"2026-08-08 13:49:00",89.7,"2026-08-08 00:21:00",32.26
"2026-08-10 00:00:00",936,12.5,83.6,"2026-08-09 11:34:00",92.1,"2026-08-09 23:59:30",21.96
"2026-08-11 00:00:00",937,12.48,76.15,"2026-08-10 13:04:00",92.1,"2026-08-10 00:04:00",23.66
"2026-08-12 00:00:00",938,12.51,84.2,"2026-08-11 13:10:30",93.1,"2026-08-11 23:08:00",18.34
"2026-08-13 00:00:00",939,12.46,84.9,"2026-08-12 13:08:30",93.3,"2026-08-12 02:17:30",19.84
"2026-08-14 00:00:00",940,12.46,51.87,"2026-08-13 12:36:00",94.8,"2026-08-13 20:10:00",38.26
"2026-08-15 00:00:00",941,12.56,87.2,"2026-08-14 13:13:00",92.1,"2026-08-14 02:13:30",22.32
"2026-08-16 00:00:00",942,12.5,71.04,"2026-08-15 15:07:30",92.4,"2026-08-15 07:49:30",30.68
"2026-08-17 00:00:00",943,12.53,57.55,"2026-08-16 13:46:30",92,"2026-08-16 01:21:00",37.93
"2026-08-18 00:00:00",944,12.62,71.01,"2026-08-17 11:20:30",91.2,"2026-08-17 00:12:30",31.99
"2026-08-19 00:00:00",945,12.61,47.6,"2026-08-18 13:52:30",91.2,"2026-08-18 23:56:30",45.67
"2026-08-20 00:00:00",946,12.63,47.71,"2026-08-19 13:42:30",94.2,"2026-08-19 03:50:30",47.49
"2026-08-21 00:00:00",947,12.63,74.07,"2026-08-20 13:42:00",92.6,"2026-08-20 00:13:00",31.9
"2026-08-22 00:00:00",948,12.59,48.27,"2026-08-21 14:40:30",93.4,"2026-08-21 07:34:30",43.8
"2026-08-23 00:00:00",949,12.59,46.57,"2026-08-22 13:40:00",94,"2026-08-22 07:22:00",41.51
"2026-08-24 00:00:00",950,12.58,47.74,"2026-08-23 13:24:30",93.2,"2026-08-23 07:30:00",39.86
"2026-08-25 00:00:00",951,12.58,68.01,"2026-08-24 12:35:30",85.8,"2026-08-24 00:10:00",27.11
"2026-08-26 00:00:00",952,12.56,68.47,"2026-08-25 09:33:00",81.7,"2026-08-25 05:07:00",25.13
"2026-08-27 00:00:00",953,12.55,56.73,"2026-08-26 13:11:30",82.2,"2026-08-26 21:35:30",34.48
"2026-08-28 00:00:00",954,12.62,66.89,"2026-08-27 13:18:30",81,"2026-08-27 00:00:30",31.9
"2026-08-29 00:00:00",955,12.59,52.94,"2026-08-28 12:54:30",80.3,"2026-08-28 23:15:30",41.08
"2026-08-30 00:00:00",956,12.57,74.34,"2026-08-29 12:32:30",85.1,"2026-08-30 00:00:00",27.31
"2026-08-31 00:00:00",957,12.51,83.4,"2026-08-30 09:56:00",87.4,"2026-08-30 18:47:00",21.34
"2026-09-01 00:00:00",958,12.46,85,"2026-08-31 12:19:30",88.7,"2026-08-31 23:56:00",21.67
"2026-09-02 00:00:00",959,12.43,42.9,"2026-09-01 13:42:30",93.6,"2026-09-01 23:03:00",46.57
"2026-09-03 00:00:00",960,12.63,50.87,"2026-09-02 13:28:00",95,"2026-09-02 07:24:30",40.16
"2026-09-04 00:00:00",961,12.69,49.52,"2026-09-03 13:59:00",91.3,"2026-09-03 07:24:30",42.81
"2026-09-05 00:00:00",962,12.66,57.88,"2026-09-04 10:33:30",90,"2026-09-04 01:56:00",33.1
"2026-09-06 00:00:00",963,12.58,84.3,"2026-09-05 11:48:00",89.5,"2026-09-05 21:47:30",17.63
"2026-09-07 00:00:00",964,12.56,58.14,"2026-09-06 11:05:30",91.7,"2026-09-06 06:00:00",31.25
"2026-09-08 00:00:00",965,12.65,52.41,"2026-09-07 15:44:30",90.1,"2026-09-07 01:34:00",33.57
