"TOA5","24170","CR300","24170","CR300.Std.10.02","CPU:HIDRO_DIVOBRAS_V6.CR300","36164","DIVOBRAS_HR"
"TIMESTAMP","RECORD","Chuva_Tot","Nivel","Nivel_Max","Nivel_TMx","Nivel_Min","Nivel_TMn"
"TS","RN","mm","Metros","Metros","","Metros",""
"","","Tot","Smp","Max","TMx","Min","TMn"
"2026-06-04 03:00:00",43449,1.778,"NAN","NAN","2026-06-04 03:00:00","NAN","2026-06-04 03:00:00"
"2026-06-04 04:00:00",43450,0,"NAN","NAN","2026-06-04 04:00:00","NAN","2026-06-04 04:00:00"
"2026-06-04 05:00:00",43451,1.016,"NAN","NAN","2026-06-04 05:00:00","NAN","2026-06-04 05:00:00"
"2026-06-04 06:00:00",43452,1.778,"NAN","NAN","2026-06-04 06:00:00","NAN","2026-06-04 06:00:00"
"2026-06-04 07:00:00",43453,1.524,"NAN","NAN","2026-06-04 07:00:00","NAN","2026-06-04 07:00:00"
"2026-06-04 08:00:00",43454,0.254,"NAN","NAN","2026-06-04 08:00:00","NAN","2026-06-04 08:00:00"
"2026-06-04 09:00:00",43455,1.524,"NAN","NAN","2026-06-04 09:00:00","NAN","2026-06-04 09:00:00"
"2026-06-04 10:00:00",43456,1.016,"NAN","NAN","2026-06-04 10:00:00","NAN","2026-06-04 10:00:00"
"2026-06-04 11:00:00",43457,1.016,"NAN","NAN","2026-06-04 11:00:00","NAN","2026-06-04 11:00:00"
"2026-06-04 12:00:00",43458,0.254,"NAN","NAN","2026-06-04 12:00:00","NAN","2026-06-04 12:00:00"
"2026-06-04 13:00:00",43459,3.048,"NAN","NAN","2026-06-04 13:00:00","NAN","2026-06-04 13:00:00"
"2026-06-04 14:00:00",43460,6.35,"NAN","NAN","2026-06-04 14:00:00","NAN","2026-06-04 14:00:00"
"2026-06-04 15:00:00",43461,0,"NAN","NAN","2026-06-04 15:00:00","NAN","2026-06-04 15:00:00"
"2026-06-04 16:00:00",43462,0.762,"NAN","NAN","2026-06-04 16:00:00","NAN","2026-06-04 16:00:00"
"2026-06-04 17:00:00",43463,0,"NAN","NAN","2026-06-04 17:00:00","NAN","2026-06-04 17:00:00"
"2026-06-04 18:00:00",43464,0.508,"NAN","NAN","2026-06-04 18:00:00","NAN","2026-06-04 18:00:00"
"2026-06-04 19:00:00",43465,0,"NAN","NAN","2026-06-04 19:00:00","NAN","2026-06-04 19:00:00"
"2026-06-04 20:00:00",43466,0,"NAN","NAN","2026-06-04 20:00:00","NAN","2026-06-04 20:00:00"
"2026-06-04 21:00:00",43467,0,"NAN","NAN","2026-06-04 21:00:00","NAN","2026-06-04 21:00:00"
"2026-06-04 22:00:00",43468,0,"NAN","NAN","2026-06-04 22:00:00","NAN","2026-06-04 22:00:00"
"2026-06-04 23:00:00",43469,0,"NAN","NAN","2026-06-04 23:00:00","NAN","2026-06-04 23:00:00"
