"TOA5","flot-flux","CR3000","75242879255.008","CR3000.Std.32.05","CPU:HIDROMET_FLOTFLUX_V6.CR3","51824","FLOTFLUX_5"
"TIMESTAMP","RECORD","Temp_Ar_Avg","Umid_Rel","R_Solar_Avg","V_Vento_5","D_Vento_5","Rajada","Dir_Rajada","Chuva_Tot","Nivel","Nivel_Max","Nivel_TMx","Nivel_Min","Nivel_TMn","PressATM","Orvalho","Ind_Calor","WindChill"
"TS","RN","Deg C","%","W/m^2","KM/h","Deg","KM/h","Degrees","mm","Metros","Metros","","Metros","","","","",""
"","","Avg","Smp","Avg","WVc","WVc","Max","SMM","Tot","Smp","Max","TMx","Min","TMn","Smp","Smp","Smp","Smp"
"2026-06-25 00:10:00",558913,11.73,80.7,0,3.128,355.2,3.78,3,0,NAN,"NAN","2026-06-25 00:10:00","NAN","2026-06-25 00:10:00",571.2,8.53,11.74,11.74
"2026-06-25 00:15:00",558914,11.75,80.2,0,1.534,339.1,2.592,16,0,NAN,"NAN","2026-06-25 00:15:00","NAN","2026-06-25 00:15:00",571.3,8.46,11.75,11.75
"2026-06-25 00:20:00",558915,11.72,80.5,0,1.53,290.5,2.052,286,0,NAN,"NAN","2026-06-25 00:20:00","NAN","2026-06-25 00:20:00",571.3,8.45,11.69,11.69
"2026-06-25 00:25:00",558916,11.68,80.7,0,1.39,314.6,2.34,321,0,NAN,"NAN","2026-06-25 00:25:00","NAN","2026-06-25 00:25:00",571.3,8.48,11.66,11.66
"2026-06-25 00:30:00",558917,11.63,80.8,0,1.714,298.5,2.772,269,0,NAN,"NAN","2026-06-25 00:30:00","NAN","2026-06-25 00:30:00",571.3,8.4,11.57,11.57
"2026-06-25 00:35:00",558918,11.54,80.7,0,1.116,299.7,1.98,275,0,NAN,"NAN","2026-06-25 00:35:00","NAN","2026-06-25 00:35:00",571.3,8.3,11.5,11.5
"2026-06-25 00:40:00",558919,11.43,80.7,0,0.547,311.9,1.656,348,0,NAN,"NAN","2026-06-25 00:40:00","NAN","2026-06-25 00:40:00",571.4,8.16,11.35,11.35
"2026-06-25 00:45:00",558920,11.45,80.9,0,1.386,348.6,1.62,339,0,NAN,"NAN","2026-06-25 00:45:00","NAN","2026-06-25 00:45:00",571.5,8.33,11.47,11.47
"2026-06-25 00:50:00",558921,11.48,80.9,0,2.225,356.9,2.736,354,0,NAN,"NAN","2026-06-25 00:50:00","NAN","2026-06-25 00:50:00",571.5,8.39,11.55,11.55
