"TOA5","flot-flux","CR3000","75242879255.008","CR3000.Std.32.05","CPU:HIDROMET_FLOTFLUX_V6.CR3","51824","FLOTFLUX_HR"
"TIMESTAMP","RECORD","Temp_Ar_Avg","Umid_Rel","R_Solar_Avg","V_Vento_Horaria","D_Vento_Horaria","Rajada","Dir_Rajada","Chuva_Tot","Nivel","Nivel_Max","Nivel_TMx","Nivel_Min","Nivel_TMn","PressATM","Orvalho","Ind_Calor","WindChill"
"TS","RN","Deg C","%","W/m^2","KM/h","Deg","KM/h","Degrees","mm","Metros","Metros","","Metros","","","","",""
"","","Avg","Smp","Avg","WVc","WVc","Max","SMM","Tot","Smp","Max","TMx","Min","TMn","Smp","Smp","Smp","Smp"
"2026-06-25 01:00:00",46576,11.6,81.2,0,1.684,329.7,3.78,3,0,NAN,"NAN","2026-06-25 01:00:00","NAN","2026-06-25 01:00:00",571.8,8.5,11.6,11.6
"2026-06-25 02:00:00",46577,11.46,81.6,0,1.722,345.5,3.96,342,0,NAN,"NAN","2026-06-25 02:00:00","NAN","2026-06-25 02:00:00",571,8.39,11.41,11.41
"2026-06-25 03:00:00",46578,11.22,83.4,0,1.045,19.21,3.24,335,0,NAN,"NAN","2026-06-25 03:00:00","NAN","2026-06-25 03:00:00",571.2,8.63,11.32,11.32
"2026-06-25 04:00:00",46579,11,84,0,0.962,0,2.448,180,0,NAN,"NAN","2026-06-25 04:00:00","NAN","2026-06-25 04:00:00",571.8,8.18,10.77,10.77
"2026-06-25 05:00:00",46580,10.76,84.5,0,1.341,168.6,3.924,195,0,NAN,"NAN","2026-06-25 05:00:00","NAN","2026-06-25 05:00:00",571.9,8.09,10.59,10.59
"2026-06-25 06:00:00",46581,10.43,84.8,0,2.108,1.996,6.336,349,0,NAN,"NAN","2026-06-25 06:00:00","NAN","2026-06-25 06:00:00",571.6,7.654,10.09,10.09
"2026-06-25 07:00:00",46582,10.01,83.5,0,2.174,354.1,7.596,351,0,NAN,"NAN","2026-06-25 07:00:00","NAN","2026-06-25 07:00:00",571.7,7.21,9.87,8.76
"2026-06-25 08:00:00",46583,10.17,80.1,16.1,3.655,349.8,7.632,23,0,NAN,"NAN","2026-06-25 08:00:00","NAN","2026-06-25 08:00:00",570.5,7.344,10.63,10.63
"2026-06-25 09:00:00",46584,11.49,72.97,91.5,3.233,341,7.992,348,0,NAN,"NAN","2026-06-25 09:00:00","NAN","2026-06-25 09:00:00",569.8,7.818,12.52,12.52
