"TOA5","iate clube","CR3000","a1605522255.008","CR3000.Std.32.05","CPU:HIDROMET_IATCLUB_V6.CR3","58435","IATCLUB_5"
"TIMESTAMP","RECORD","Temp_Ar_Avg","Umid_Rel","R_Solar_Avg","V_Vento_5","D_Vento_5","Rajada","Dir_Rajada","Chuva_Tot","Nivel","Nivel_Max","Nivel_TMx","Nivel_Min","Nivel_TMn","PressATM","Orvalho","Ind_Calor","WindChill"
"TS","RN","Deg C","%","W/m^2","KM/h","Deg","KM/h","Degrees","mm","Metros","Metros","","Metros","","","","",""
"","","Avg","Smp","Avg","WVc","WVc","Max","SMM","Tot","Smp","Max","TMx","Min","TMn","Smp","Smp","Smp","Smp"
"2026-06-25 00:10:00",556688,13.33,77.11,0,0.785,299.2,1.188,271,0,NAN,"NAN","2026-06-25 00:10:00","NAN","2026-06-25 00:10:00",590,9.39,13.3,13.3
"2026-06-25 00:15:00",556689,13.36,77.04,0,1.242,285.3,1.728,282,0,NAN,"NAN","2026-06-25 00:15:00","NAN","2026-06-25 00:15:00",589.9,9.44,13.37,13.37
"2026-06-25 00:20:00",556690,13.36,77.04,0,1.372,262.6,2.88,251,0,NAN,"NAN","2026-06-25 00:20:00","NAN","2026-06-25 00:20:00",590,9.46,13.39,13.39
"2026-06-25 00:25:00",556691,13.53,77.73,0,5.404,226.9,6.408,222,0,NAN,"NAN","2026-06-25 00:25:00","NAN","2026-06-25 00:25:00",590,9.95,13.76,13.76
"2026-06-25 00:30:00",556692,13.96,77.69,0,7.002,217,7.812,224,0,NAN,"NAN","2026-06-25 00:30:00","NAN","2026-06-25 00:30:00",590.1,10.25,14.07,14.07
"2026-06-25 00:35:00",556693,14.12,77.63,0,7.06,214.8,9.11,216,0,NAN,"NAN","2026-06-25 00:35:00","NAN","2026-06-25 00:35:00",590.3,10.32,14.16,14.16
"2026-06-25 00:40:00",556694,14.2,77.44,0,7.11,214,7.992,215,0,NAN,"NAN","2026-06-25 00:40:00","NAN","2026-06-25 00:40:00",590.6,10.36,14.23,14.23
"2026-06-25 00:45:00",556695,14.29,77.26,0,5.566,220.7,7.164,222,0,NAN,"NAN","2026-06-25 00:45:00","NAN","2026-06-25 00:45:00",590.9,10.37,14.28,14.28
"2026-06-25 00:50:00",556696,14.32,77.44,0,4.093,237.9,5.616,250,0,NAN,"NAN","2026-06-25 00:50:00","NAN","2026-06-25 00:50:00",591.4,10.47,14.35,14.35
