"TOA5","iate clube","CR3000","a1605522255.008","CR3000.Std.32.05","CPU:HIDROMET_IATCLUB_V6.CR3","58435","IATCLUB_HR"
"TIMESTAMP","RECORD","Temp_Ar_Avg","Umid_Rel","R_Solar_Avg","V_Vento_Horaria","D_Vento_Horaria","Rajada","Dir_Rajada","Chuva_Tot","Nivel","Nivel_Max","Nivel_TMx","Nivel_Min","Nivel_TMn","PressATM","Orvalho","Ind_Calor","WindChill"
"TS","RN","Deg C","%","W/m^2","KM/h","Deg","KM/h","Degrees","mm","Metros","Metros","","Metros","","","","",""
"","","Avg","Smp","Avg","WVc","WVc","Max","SMM","Tot","Smp","Max","TMx","Min","TMn","Smp","Smp","Smp","Smp"
"2026-06-25 01:00:00",46391,13.87,76.72,0,4.027,247.9,9.11,216,0,NAN,"NAN","2026-06-25 01:00:00","NAN","2026-06-25 01:00:00",592.2,10.1,14.11,14.11
"2026-06-25 02:00:00",46392,13.43,76.98,0,2.311,334.7,5.976,282,0,NAN,"NAN","2026-06-25 02:00:00","NAN","2026-06-25 02:00:00",591.3,9.67,13.62,13.62
"2026-06-25 03:00:00",46393,13.95,76.85,0,5.927,226.6,9.36,222,0,NAN,"NAN","2026-06-25 03:00:00","NAN","2026-06-25 03:00:00",594,9.94,13.92,13.92
"2026-06-25 04:00:00",46394,13.72,76.75,0,7.242,219.7,11.16,229,0,NAN,"NAN","2026-06-25 04:00:00","NAN","2026-06-25 04:00:00",594.2,9.59,13.58,13.58
"2026-06-25 05:00:00",46395,13.39,75.49,0,8.56,239.7,13.21,225,0,NAN,"NAN","2026-06-25 05:00:00","NAN","2026-06-25 05:00:00",594.5,9.1,13.33,13.33
"2026-06-25 06:00:00",46396,13.18,73.03,0,5.405,286.9,9.72,292,0,NAN,"NAN","2026-06-25 06:00:00","NAN","2026-06-25 06:00:00",593.1,8.26,12.96,12.96
"2026-06-25 07:00:00",46397,12.85,74.88,0,4.536,305.3,7.452,280,0,NAN,"NAN","2026-06-25 07:00:00","NAN","2026-06-25 07:00:00",593,8.33,12.66,12.66
"2026-06-25 08:00:00",46398,11.2,73.04,24.09,3.114,301.3,6.156,319,0,NAN,"NAN","2026-06-25 08:00:00","NAN","2026-06-25 08:00:00",597.8,8.86,13.59,13.59
"2026-06-25 09:00:00",46399,13.2,69.56,153.8,2.471,225.1,6.516,266,0,NAN,"NAN","2026-06-25 09:00:00","NAN","2026-06-25 09:00:00",612.1,10.92,16.48,16.48
