"TOA5","paraiso","CR3000","4743","CR3000.Std.32.05","CPU:HIDRO_JARDIM_PARAISO_V6.CR3","28767","J_PARAISO_5"
"TIMESTAMP","RECORD","Chuva_Tot","Nivel","Nivel_Max","Nivel_TMx","Nivel_Min","Nivel_TMn"
"TS","RN","mm","Metros","Metros","","Metros",""
"","","Tot","Smp","Max","TMx","Min","TMn"
"2026-06-25 00:10:00",553220,0,"NAN","NAN","2026-06-25 00:10:00","NAN","2026-06-25 00:10:00"
"2026-06-25 00:15:00",553221,0,"NAN","NAN","2026-06-25 00:15:00","NAN","2026-06-25 00:15:00"
"2026-06-25 00:20:00",553222,0,"NAN","NAN","2026-06-25 00:20:00","NAN","2026-06-25 00:20:00"
"2026-06-25 00:25:00",553223,0,"NAN","NAN","2026-06-25 00:25:00","NAN","2026-06-25 00:25:00"
"2026-06-25 00:30:00",553224,0,"NAN","NAN","2026-06-25 00:30:00","NAN","2026-06-25 00:30:00"
"2026-06-25 00:35:00",553225,0,"NAN","NAN","2026-06-25 00:35:00","NAN","2026-06-25 00:35:00"
"2026-06-25 00:40:00",553226,0,"NAN","NAN","2026-06-25 00:40:00","NAN","2026-06-25 00:40:00"
"2026-06-25 00:45:00",553227,0,"NAN","NAN","2026-06-25 00:45:00","NAN","2026-06-25 00:45:00"
"2026-06-25 00:50:00",553228,0,"NAN","NAN","2026-06-25 00:50:00","NAN","2026-06-25 00:50:00"
"2026-06-25 00:55:00",553229,0,"NAN","NAN","2026-06-25 00:55:00","NAN","2026-06-25 00:55:00"
"2026-06-25 01:00:00",553230,0,"NAN","NAN","2026-06-25 01:00:00","NAN","2026-06-25 01:00:00"
"2026-06-25 01:05:00",553231,0,"NAN","NAN","2026-06-25 01:05:00","NAN","2026-06-25 01:05:00"
"2026-06-25 01:10:00",553232,0,"NAN","NAN","2026-06-25 01:10:00","NAN","2026-06-25 01:10:00"
"2026-06-25 01:15:00",553233,0,"NAN","NAN","2026-06-25 01:15:00","NAN","2026-06-25 01:15:00"
"2026-06-25 01:20:00",553234,0,"NAN","NAN","2026-06-25 01:20:00","NAN","2026-06-25 01:20:00"
"2026-06-25 01:25:00",553235,0,"NAN","NAN","2026-06-25 01:25:00","NAN","2026-06-25 01:25:00"
"2026-06-25 01:30:00",553236,0,"NAN","NAN","2026-06-25 01:30:00","NAN","2026-06-25 01:30:00"
"2026-06-25 01:35:00",553237,0,"NAN","NAN","2026-06-25 01:35:00","NAN","2026-06-25 01:35:00"
"2026-06-25 01:40:00",553238,0,"NAN","NAN","2026-06-25 01:40:00","NAN","2026-06-25 01:40:00"
"2026-06-25 01:45:00",553239,0,"NAN","NAN","2026-06-25 01:45:00","NAN","2026-06-25 01:45:00"
"2026-06-25 01:50:00",553240,0,"NAN","NAN","2026-06-25 01:50:00","NAN","2026-06-25 01:50:00"
