"TOA5","paraiso","CR3000","4743","CR3000.Std.32.05","CPU:HIDRO_JARDIM_PARAISO_V6.CR3","28767","J_PARAISO_HR"
"TIMESTAMP","RECORD","Chuva_Tot","Nivel","Nivel_Max","Nivel_TMx","Nivel_Min","Nivel_TMn"
"TS","RN","mm","Metros","Metros","","Metros",""
"","","Tot","Smp","Max","TMx","Min","TMn"
"2026-06-25 01:00:00",46102,0,"NAN","NAN","2026-06-25 01:00:00","NAN","2026-06-25 01:00:00"
"2026-06-25 02:00:00",46103,0,"NAN","NAN","2026-06-25 02:00:00","NAN","2026-06-25 02:00:00"
"2026-06-25 03:00:00",46104,0,"NAN","NAN","2026-06-25 03:00:00","NAN","2026-06-25 03:00:00"
"2026-06-25 04:00:00",46105,0,"NAN","NAN","2026-06-25 04:00:00","NAN","2026-06-25 04:00:00"
"2026-06-25 05:00:00",46106,0,"NAN","NAN","2026-06-25 05:00:00","NAN","2026-06-25 05:00:00"
"2026-06-25 06:00:00",46107,0,"NAN","NAN","2026-06-25 06:00:00","NAN","2026-06-25 06:00:00"
"2026-06-25 07:00:00",46108,0,"NAN","NAN","2026-06-25 07:00:00","NAN","2026-06-25 07:00:00"
"2026-06-25 08:00:00",46109,0,"NAN","NAN","2026-06-25 08:00:00","NAN","2026-06-25 08:00:00"
"2026-06-25 09:00:00",46110,0,"NAN","NAN","2026-06-25 09:00:00","NAN","2026-06-25 09:00:00"
"2026-06-25 10:00:00",46111,0,"NAN","NAN","2026-06-25 10:00:00","NAN","2026-06-25 10:00:00"
"2026-06-25 11:00:00",46112,0,"NAN","NAN","2026-06-25 11:00:00","NAN","2026-06-25 11:00:00"
"2026-06-25 12:00:00",46113,0,"NAN","NAN","2026-06-25 12:00:00","NAN","2026-06-25 12:00:00"
"2026-06-25 13:00:00",46114,0,"NAN","NAN","2026-06-25 13:00:00","NAN","2026-06-25 13:00:00"
"2026-06-25 14:00:00",46115,0,"NAN","NAN","2026-06-25 14:00:00","NAN","2026-06-25 14:00:00"
"2026-06-25 15:00:00",46116,0,"NAN","NAN","2026-06-25 15:00:00","NAN","2026-06-25 15:00:00"
"2026-06-25 16:00:00",46117,0,"NAN","NAN","2026-06-25 16:00:00","NAN","2026-06-25 16:00:00"
"2026-06-25 17:00:00",46118,0,"NAN","NAN","2026-06-25 17:00:00","NAN","2026-06-25 17:00:00"
"2026-06-25 18:00:00",46119,0,"NAN","NAN","2026-06-25 18:00:00","NAN","2026-06-25 18:00:00"
"2026-06-25 19:00:00",46120,0,"NAN","NAN","2026-06-25 19:00:00","NAN","2026-06-25 19:00:00"
"2026-06-25 20:00:00",46121,0,"NAN","NAN","2026-06-25 20:00:00","NAN","2026-06-25 20:00:00"
"2026-06-25 21:00:00",46122,0,"NAN","NAN","2026-06-25 21:00:00","NAN","2026-06-25 21:00:00"
