code,station,date,rain_mm,level
rodovia,Rodovia,2014-07-02,45.0,warning
rodovia,Rodovia,2013-08-26,41.2,warning
rodovia,Rodovia,2013-07-22,30.4,warning
rodovia,Rodovia,2013-07-20,35.9,warning
rodovia,Rodovia,2013-06-21,45.1,warning
rodovia,Rodovia,2013-06-20,58.1,warning
rodovia,Rodovia,2013-05-05,55.1,warning
rodovia,Rodovia,2013-04-02,33.5,warning
rodovia,Rodovia,2013-03-16,48.5,warning
rodovia,Rodovia,2013-02-22,41.2,warning
rodovia,Rodovia,2013-02-13,39.8,warning
rodovia,Rodovia,2013-02-07,53.0,warning
rodovia,Rodovia,2013-01-14,38.3,warning
rodovia,Rodovia,2012-12-29,32.5,warning
rodovia,Rodovia,2012-11-09,64.7,serious
rodovia,Rodovia,2012-10-22,44.1,warning
rodovia,Rodovia,2012-07-17,49.4,warning
rodovia,Rodovia,2012-06-04,116.3,critical
rodovia,Rodovia,2012-04-28,34.2,warning
rodovia,Rodovia,2012-04-26,98.3,serious
