date,gauge,rain_mm
2021-01-01,aventureiro,52.36
2021-01-02,aventureiro,9.200000000000001
2021-01-03,aventureiro,18.39
2021-01-04,aventureiro,7.4
2021-01-05,aventureiro,6.390000000000001
2021-01-06,aventureiro,5.19
2021-01-07,aventureiro,4.4
2021-01-08,aventureiro,17.54
2021-01-09,aventureiro,1.6
2021-01-10,aventureiro,0.0
2021-01-11,aventureiro,6.79
2021-01-12,aventureiro,0.8
2021-01-13,aventureiro,1.2000000000000002
2021-01-14,aventureiro,5.4
2021-01-15,aventureiro,2.4000000000000004
2021-01-16,aventureiro,19.04
2021-01-17,aventureiro,22.1
2021-01-18,aventureiro,10.4
2021-01-19,aventureiro,13.65
2021-01-20,aventureiro,38.480000000000004
2021-01-21,aventureiro,29.290000000000003
2021-01-22,aventureiro,22.59
2021-01-23,aventureiro,18.0
2021-01-24,aventureiro,14.600000000000001
2021-01-25,aventureiro,7.2
2021-01-26,aventureiro,1.4000000000000001
2021-01-27,aventureiro,3.9800000000000004
2021-01-28,aventureiro,1.2000000000000002
2021-01-29,aventureiro,3.6
2021-01-30,aventureiro,4.6000000000000005
2021-01-31,aventureiro,5.800000000000001
2021-02-01,aventureiro,1.2000000000000002
2021-02-02,aventureiro,0.0
2021-02-03,aventureiro,0.0
2021-02-04,aventureiro,9.24
2021-02-05,aventureiro,0.0
2021-02-06,aventureiro,0.0
2021-02-07,aventureiro,0.0
2021-02-08,aventureiro,7.88
2021-02-09,aventureiro,0.0
2021-02-10,aventureiro,0.0
2021-02-11,aventureiro,12.600000000000001
2021-02-12,aventureiro,9.46
2021-02-13,aventureiro,1.38
2021-02-14,aventureiro,29.13
2021-02-15,aventureiro,3.35
2021-02-16,aventureiro,11.81
2021-02-17,aventureiro,0.0
2021-02-18,aventureiro,0.0
2021-02-19,aventureiro,0.0
2021-02-20,aventureiro,0.0
2021-02-21,aventureiro,0.0
2021-02-22,aventureiro,0.0
2021-02-23,aventureiro,7.09
2021-02-24,aventureiro,0.0
2021-02-25,aventureiro,28.34
2021-02-26,aventureiro,39.73
2021-02-27,aventureiro,36.81
2021-02-28,aventureiro,45.92
2021-03-01,aventureiro,32.27
2021-03-02,aventureiro,3.17
2021-03-03,aventureiro,17.11
2021-03-04,aventureiro,7.69
2021-03-05,aventureiro,3.93
2021-03-06,aventureiro,0.0
2021-03-07,aventureiro,4.140000000000001
2021-03-08,aventureiro,9.01
2021-03-09,aventureiro,14.39
2021-03-10,aventureiro,0.0
2021-03-11,aventureiro,0.0
2021-03-12,aventureiro,0.0
2021-03-13,aventureiro,0.0
2021-03-14,aventureiro,0.0
2021-03-15,aventureiro,59.2
2021-03-16,aventureiro,0.0
2021-03-17,aventureiro,0.0
2021-03-18,aventureiro,18.25
2021-03-19,aventureiro,4.800000000000001
2021-03-20,aventureiro,0.4
2021-03-21,aventureiro,0.2
2021-03-22,aventureiro,0.4
2021-03-23,aventureiro,0.4
2021-03-24,aventureiro,1.0
2021-03-25,aventureiro,9.540000000000001
2021-03-26,aventureiro,0.4
2021-03-27,aventureiro,0.4
2021-03-28,aventureiro,0.8
2021-03-29,aventureiro,24.85
2021-03-30,aventureiro,7.6000000000000005
2021-03-31,aventureiro,0.0
2021-04-01,aventureiro,0.0
2021-04-02,aventureiro,0.0
2021-04-03,aventureiro,8.120000000000001
2021-04-04,aventureiro,0.0
2021-04-05,aventureiro,0.6000000000000001
2021-04-06,aventureiro,7.69
2021-04-07,aventureiro,12.940000000000001
2021-04-08,aventureiro,11.8
2021-04-09,aventureiro,2.0
2021-04-10,aventureiro,0.0
2021-04-11,aventureiro,0.0
2021-04-12,aventureiro,0.0
2021-04-13,aventureiro,0.0
2021-04-14,aventureiro,0.79
2021-04-15,aventureiro,0.0
2021-04-16,aventureiro,0.6000000000000001
2021-04-17,aventureiro,5.3100000000000005
2021-04-18,aventureiro,7.3500000000000005
2021-04-19,aventureiro,1.8
2021-04-20,aventureiro,3.0
2021-04-21,aventureiro,14.600000000000001
2021-04-22,aventureiro,13.4
2021-04-23,aventureiro,0.0
2021-04-24,aventureiro,0.0
2021-04-25,aventureiro,0.0
2021-04-26,aventureiro,4.93
2021-04-27,aventureiro,0.0
2021-04-28,aventureiro,0.0
2021-04-29,aventureiro,0.0
2021-04-30,aventureiro,2.16
2021-05-01,aventureiro,0.0
2021-05-02,aventureiro,0.0
2021-05-03,aventureiro,0.0
2021-05-04,aventureiro,0.0
2021-05-05,aventureiro,0.0
2021-05-06,aventureiro,22.25
2021-05-07,aventureiro,3.3600000000000003
2021-05-08,aventureiro,0.0
2021-05-09,aventureiro,0.8
2021-05-10,aventureiro,6.5600000000000005
2021-05-11,aventureiro,0.0
2021-05-12,aventureiro,25.82
2021-05-13,aventureiro,0.0
2021-05-14,aventureiro,0.0
2021-05-15,aventureiro,1.78
2021-05-16,aventureiro,0.0
2021-05-17,aventureiro,0.0
2021-05-18,aventureiro,0.0
2021-05-19,aventureiro,0.0
2021-05-20,aventureiro,0.0
2021-05-21,aventureiro,0.0
2021-05-22,aventureiro,10.63
2021-05-23,aventureiro,0.2
2021-05-24,aventureiro,0.0
2021-05-25,aventureiro,0.0
2021-05-26,aventureiro,0.0
2021-05-27,aventureiro,0.0
2021-05-28,aventureiro,0.0
2021-05-29,aventureiro,0.0
2021-05-30,aventureiro,4.180000000000001
2021-05-31,aventureiro,0.4
2021-06-01,aventureiro,0.0
2021-06-02,aventureiro,0.0
2021-06-03,aventureiro,0.0
2021-06-04,aventureiro,0.0
2021-06-05,aventureiro,0.0
2021-06-06,aventureiro,0.0
2021-06-07,aventureiro,30.18
2021-06-08,aventureiro,11.88
2021-06-09,aventureiro,6.92
2021-06-10,aventureiro,0.0
2021-06-11,aventureiro,0.0
2021-06-12,aventureiro,0.0
2021-06-13,aventureiro,0.0
2021-06-14,aventureiro,0.0
2021-06-15,aventureiro,0.0
2021-06-16,aventureiro,0.2
2021-06-17,aventureiro,0.0
2021-06-18,aventureiro,1.78
2021-06-19,aventureiro,39.94
2021-06-20,aventureiro,7.720000000000001
2021-06-21,aventureiro,0.6000000000000001
2021-06-22,aventureiro,2.8000000000000003
2021-06-23,aventureiro,0.0
2021-06-24,aventureiro,0.4
2021-06-25,aventureiro,0.4
2021-06-26,aventureiro,2.8000000000000003
2021-06-28,aventureiro,3.4000000000000004
2021-06-29,aventureiro,6.4
2021-06-30,aventureiro,1.2000000000000002
2021-07-01,aventureiro,0.0
2021-07-02,aventureiro,0.0
2021-07-03,aventureiro,0.0
2021-07-04,aventureiro,0.0
2021-07-05,aventureiro,0.0
2021-07-06,aventureiro,1.6
2021-07-07,aventureiro,2.0
2021-07-08,aventureiro,0.0
2021-07-10,aventureiro,0.0
2021-07-11,aventureiro,0.0
2021-07-12,aventureiro,0.0
2021-07-16,aventureiro,8.97
