date,code,station,temp,umid,ws,wd,prec
2020-10-04 20:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,2.57040679481448,100.0,
2020-10-04 21:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-04 22:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,0.514081358962897,230.0,
2020-10-04 23:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.02816271792579,280.0,
2020-10-05 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-05 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-05 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-05 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-05 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-05 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-05 06:00:00,aeroporto,Aeroporto SBJV,19.0,100.0,2.05632543585159,30.0,
2020-10-05 07:00:00,aeroporto,Aeroporto SBJV,20.0,93.97,3.08448815377738,30.0,
2020-10-05 08:00:00,aeroporto,Aeroporto SBJV,20.0,100.0,2.05632543585159,10.0,
2020-10-05 09:00:00,aeroporto,Aeroporto SBJV,21.0,94.01,2.05632543585159,10.0,
2020-10-05 10:00:00,aeroporto,Aeroporto SBJV,22.0,94.06,1.54224407688869,130.0,
2020-10-05 11:00:00,aeroporto,Aeroporto SBJV,22.0,94.06,1.02816271792579,160.0,
2020-10-05 12:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-05 13:00:00,aeroporto,Aeroporto SBJV,23.0,88.51,3.59856951274028,70.0,
2020-10-05 14:00:00,aeroporto,Aeroporto SBJV,23.0,88.51,3.08448815377738,70.0,
2020-10-05 15:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-05 16:00:00,aeroporto,Aeroporto SBJV,23.0,88.51,2.05632543585159,60.0,
2020-10-05 17:00:00,aeroporto,Aeroporto SBJV,23.0,88.51,3.08448815377738,10.0,
2020-10-05 18:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-05 19:00:00,aeroporto,Aeroporto SBJV,22.0,94.06,2.05632543585159,30.0,
2020-10-05 20:00:00,aeroporto,Aeroporto SBJV,22.0,94.06,1.54224407688869,360.0,
2020-10-05 21:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-05 22:00:00,aeroporto,Aeroporto SBJV,22.0,94.06,0.0,0.0,
2020-10-05 23:00:00,aeroporto,Aeroporto SBJV,21.0,100.0,1.02816271792579,200.0,
2020-10-06 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-06 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-06 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-06 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-06 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-06 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-06 06:00:00,aeroporto,Aeroporto SBJV,21.0,100.0,2.57040679481448,120.0,
2020-10-06 07:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-06 08:00:00,aeroporto,Aeroporto SBJV,21.0,94.01,1.54224407688869,180.0,
2020-10-06 09:00:00,aeroporto,Aeroporto SBJV,22.0,78.04,2.57040679481448,150.0,
2020-10-06 10:00:00,aeroporto,Aeroporto SBJV,22.0,78.04,2.05632543585159,70.0,
2020-10-06 11:00:00,aeroporto,Aeroporto SBJV,23.0,73.44,1.54224407688869,70.0,
2020-10-06 12:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-06 13:00:00,aeroporto,Aeroporto SBJV,23.0,78.19,3.08448815377738,130.0,
2020-10-06 14:00:00,aeroporto,Aeroporto SBJV,24.0,69.14,1.02816271792579,130.0,
2020-10-06 15:00:00,aeroporto,Aeroporto SBJV,23.0,78.19,4.11265087170317,130.0,
2020-10-06 16:00:00,aeroporto,Aeroporto SBJV,23.0,78.19,3.59856951274028,110.0,
2020-10-06 17:00:00,aeroporto,Aeroporto SBJV,21.0,82.98,5.14081358962897,120.0,
2020-10-06 18:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-06 19:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,3.08448815377738,120.0,
2020-10-06 20:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,3.08448815377738,110.0,
2020-10-06 21:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,2.05632543585159,120.0,
2020-10-06 22:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.02816271792579,110.0,
2020-10-06 23:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.02816271792579,300.0,
2020-10-07 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-07 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-07 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-07 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-07 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-07 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-07 06:00:00,aeroporto,Aeroporto SBJV,19.0,100.0,1.02816271792579,240.0,
2020-10-07 07:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.02816271792579,220.0,
2020-10-07 08:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.54224407688869,180.0,
2020-10-07 09:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-07 10:00:00,aeroporto,Aeroporto SBJV,20.0,100.0,4.62673223066607,330.0,
2020-10-07 11:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-07 12:00:00,aeroporto,Aeroporto SBJV,21.0,88.34,2.57040679481448,160.0,
2020-10-07 13:00:00,aeroporto,Aeroporto SBJV,22.0,88.43,4.11265087170317,150.0,
2020-10-07 14:00:00,aeroporto,Aeroporto SBJV,24.0,78.34,0.514081358962897,140.0,
2020-10-07 15:00:00,aeroporto,Aeroporto SBJV,24.0,78.34,4.11265087170317,120.0,
2020-10-07 16:00:00,aeroporto,Aeroporto SBJV,24.0,78.34,1.54224407688869,110.0,
2020-10-07 17:00:00,aeroporto,Aeroporto SBJV,23.0,88.51,2.05632543585159,110.0,
2020-10-07 18:00:00,aeroporto,Aeroporto SBJV,22.0,94.06,2.05632543585159,100.0,
2020-10-07 19:00:00,aeroporto,Aeroporto SBJV,21.0,94.01,4.62673223066607,140.0,
2020-10-07 20:00:00,aeroporto,Aeroporto SBJV,21.0,94.01,2.05632543585159,160.0,
2020-10-07 21:00:00,aeroporto,Aeroporto SBJV,,,,,
