date,temp_max,temp_min,umid_max,umid_min,level_max,level_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean
2011-03-15,28.59,20.55,100.0,63.74,,,,,,,,,,,,,,
2011-03-16,26.52,19.12,98.0,53.94,,,,,,,,,,,,,,
2011-03-17,30.29,16.62,100.0,44.26,,,,,,,,,,,,,,
2011-03-18,27.88,18.42,100.0,55.14,,,,,,,,,,,,,,
2011-03-19,33.06,18.7,100.0,54.91,,,,,,,,,,,,,,
2011-03-20,25.09,19.06,99.5,66.11,,,,,,,,,,,,,,
2011-03-21,24.05,18.55,99.3,69.1,,,,,,,,,,,,,,
2011-03-22,28.11,18.64,99.6,55.71,,,,,,,,,,,,,,
2011-03-23,27.02,20.42,100.0,70.23,,,,,,,,,,,,,,
2011-03-24,28.52,20.7,100.0,70.02,,,,,,,,,,,,,,
2011-03-25,32.64,22.15,99.9,58.42,,,,,,,,,,,,,,
2011-03-26,25.45,22.0,100.0,81.4,,,,,,,,,,,,,,
2011-03-27,30.16,20.4,100.0,67.69,,,,,,,,,,,,,,
2011-03-28,31.2,19.49,100.0,55.78,,,,,,,,,,,,,,
2011-03-29,28.45,20.68,99.6,71.12,,,,,,,,,,,,,,
2011-03-30,24.63,19.06,100.0,81.2,,,,,,,,,,,,,,
2011-03-31,22.59,17.75,100.0,79.44,,,,,,,,,,,,,,
2011-04-01,27.19,18.98,100.0,68.29,,,,,,,,,,,,,,
2011-04-02,27.59,19.74,100.0,72.35,,,,,,,,,,,,,,
2011-04-03,26.08,20.07,100.0,81.4,,,,,,,,,,,,,,
2011-04-04,28.25,16.97,100.0,47.78,,,,,,,,,,,,,,
2011-04-05,29.85,17.89,100.0,58.33,,,,,,,,,,,,,,
2011-04-06,31.96,16.69,100.0,39.85,,,,,,,,,,,,,,
2011-04-07,29.64,16.36,100.0,45.63,,,,,,,,,,,,,,
2011-04-09,30.21,15.72,100.0,48.0,,,,,,,,,,,,,,
2011-04-10,25.92,17.26,100.0,59.15,,,,,,,,,,,,,,
2011-04-11,26.38,16.64,100.0,59.18,,,,,,,,,,,,,,
2011-04-12,28.44,15.3,100.0,53.29,,,,,,,,,,,,,,
2011-04-13,29.15,15.82,100.0,59.8,,,,,,,,,,,,,,
2011-04-14,30.01,16.41,100.0,50.72,,,,,,,,,,,,,,
2011-04-15,33.95,18.17,100.0,47.54,,,,,,,,,,,,,,
2011-04-16,29.18,18.54,99.9,61.24,,,,,,,,,,,,,,
2011-04-17,32.18,18.49,100.0,53.28,,,,,,,,,,,,,,
2011-04-18,28.31,21.13,98.1,69.56,,,,,,,,,,,,,,
2011-04-19,31.56,21.42,98.7,61.29,,,,,,,,,,,,,,
2011-04-20,22.33,20.25,99.5,89.7,,,,,,,,,,,,,,
2011-04-21,29.68,19.67,100.0,58.92,,,,,,,,,,,,,,
2011-04-22,25.98,19.77,100.0,78.73,,,,,,,,,,,,,,
2011-04-23,33.15,18.58,100.0,47.44,,,,,,,,,,,,,,
2011-04-24,29.93,19.46,100.0,70.58,,,,,,,,,,,,,,
2011-04-25,21.42,18.62,99.8,83.1,,,,,,,,,,,,,,
2011-04-26,26.96,17.9,100.0,61.83,,,,,,,,,,,,,,
2011-04-27,27.36,15.54,100.0,50.63,,,,,,,,,,,,,,
2011-04-28,26.18,16.63,100.0,65.22,,,,,,,,,,,,,,
2011-04-29,20.57,17.75,100.0,93.0,,,,,,,,,,,,,,
2011-04-30,26.63,17.97,100.0,65.8,,,,,,,,,,,,,,
2011-05-01,25.04,17.53,100.0,69.06,,,,,,,,,,,,,,
2011-05-02,29.86,18.44,100.0,56.24,,,,,,,,,,,,,,
2011-05-03,27.45,12.58,99.1,37.77,,,,,,,,,,,,,,
2011-05-04,26.5,10.0,100.0,37.1,,,,,,,,,,,,,,
2011-05-05,26.52,14.22,100.0,55.78,,,,,,,,,,,,,,
2011-05-06,28.16,11.08,100.0,39.76,,,,,,,,,,,,,,
2011-05-07,30.57,12.48,100.0,39.33,,,,,,,,,,,,,,
2011-05-08,23.32,17.61,99.7,76.39,,,,,,,,,,,,,,
2011-05-09,29.59,14.73,100.0,55.44,,,,,,,,,,,,,,
2011-05-10,22.46,17.48,99.3,70.16,,,,,,,,,,,,,,
2011-05-11,22.04,16.97,100.0,79.94,,,,,,,,,,,,,,
2011-05-12,28.69,17.26,100.0,62.18,,,,,,,,,,,,,,
2011-05-13,26.16,17.45,100.0,69.07,,,,,,,,,,,,,,
2011-05-14,23.9,17.43,99.2,61.22,,,,,,,,,,,,,,
2011-05-15,21.07,16.55,100.0,79.74,,,,,,,,,,,,,,
2011-05-16,19.39,15.64,100.0,81.0,,,,,,,,,,,,,,
2011-05-17,20.22,14.45,100.0,78.76,,,,,,,,,,,,,,
2011-05-18,23.32,9.92,100.0,49.45,,,,,,,,,,,,,,
2011-05-19,23.54,10.73,100.0,55.05,,,,,,,,,,,,,,
2011-05-20,24.4,11.96,100.0,54.13,,,,,,,,,,,,,,
2011-05-21,23.02,15.06,100.0,74.73,,,,,,,,,,,,,,
2011-05-22,25.09,15.63,100.0,68.11,,,,,,,,,,,,,,
2011-05-23,26.71,14.45,100.0,60.35,,,,,,,,,,,,,,
2011-05-24,26.81,16.57,100.0,64.1,,,,,,,,,,,,,,
2011-05-25,24.49,19.39,100.0,80.6,,,,,,,,,,,,,,
2011-05-26,27.13,16.91,100.0,62.47,,,,,,,,,,,,,,
2011-05-27,24.45,16.32,100.0,71.38,,,,,,,,,,,,,,
2011-05-28,22.43,15.38,100.0,60.29,,,,,,,,,,,,,,
2011-05-29,23.25,9.56,100.0,41.99,,,,,,,,,,,,,,
2011-05-30,23.86,7.188,100.0,37.26,,,,,,,,,,,,,,
2011-05-31,23.09,7.602,100.0,37.27,,,,,,,,,,,,,,
2011-06-01,24.1,8.99,100.0,44.62,,,,,,,,,,,,,,
2011-06-02,24.52,8.11,100.0,44.62,,,,,,,,,,,,,,
2011-06-03,24.63,8.87,100.0,53.56,,,,,,,,,,,,,,
2011-06-25,21.41,16.67,100.0,80.6,0.9099033999999999,0.8801812999999999,,,,,,,,,,,,
2011-06-26,22.05,16.46,100.0,79.09,0.9302444,0.9002612999999999,,,,,,,,,,,,
2011-06-27,17.96,11.32,100.0,60.25,1.36798,0.9025207,,,,,,,,,,,,
2011-06-28,19.17,7.097,92.2,21.34,1.21838,0.9760249,,,,,,,,,,,,
2011-06-29,19.99,8.65,89.8,17.76,0.9816281,0.940334,,,,,,,,,,,,
2011-06-30,14.13,7.984,100.0,61.27,0.9532463999999999,0.9107864999999999,,,,,,,,,,,,
2011-07-01,16.54,11.22,100.0,96.5,1.365037,0.9485222999999999,,,,,,,,,,,,
2011-07-02,17.47,15.16,100.0,96.9,1.424212,1.263128,,,,,,,,,,,,
2011-07-03,16.85,15.42,100.0,97.1,1.287117,1.126003,,,,,,,,,,,,
2011-07-04,15.91,8.41,100.0,87.9,1.890973,1.126847,,,,,,,,,,,,
2011-07-05,16.76,6.552,98.7,40.3,1.759191,1.216891,,,,,,,,,,,,
2011-07-17,27.18,15.17,100.0,54.39,,,,,,,,,,,,,,
2011-07-18,21.51,14.5,100.0,75.25,,,,,,,,,,,,,,
2011-07-19,21.71,16.3,100.0,79.5,,,,,,,,,,,,,,
2011-07-20,23.69,17.19,100.0,75.68,,,,,,,,,,,,,,
2011-07-21,20.86,17.39,100.0,85.4,,,,,,,,,,,,,,
2011-07-22,19.42,15.73,100.0,96.3,,,,,,,,,,,,,,
2011-07-23,16.85,13.9,100.0,90.0,,,,,,,,,,,,,,
2011-07-24,21.1,10.49,100.0,66.53,,,,,,,,,,,,,,
2011-07-25,19.76,14.68,100.0,86.2,,,,,,,,,,,,,,
2011-07-26,21.06,15.33,100.0,78.4,,,,,,,,,,,,,,
2011-07-27,26.1,13.51,100.0,61.54,,,,,,,,,,,,,,
2011-07-28,24.25,13.49,100.0,46.91,,,,,,,,,,,,,,
2011-07-29,19.7,13.87,100.0,82.6,,,,,,,,,,,,,,
2011-07-30,24.81,16.1,100.0,64.79,,,,,,,,,,,,,,
2011-07-31,19.9,15.47,100.0,90.1,,,,,,,,,,,,,,
2011-08-01,15.52,14.17,100.0,99.2,,,,,,,,,,,,,,
2011-08-02,16.57,14.86,100.0,99.8,,,,,,,,,,,,,,
2011-08-03,22.38,10.89,100.0,33.12,,,,,,,,,,,,,,
2011-08-04,20.27,9.92,84.2,36.36,,,,,,,,,,,,,,
2011-08-05,20.55,5.088,100.0,27.12,,,,,,,,,,,,,,
2011-08-06,20.52,2.612,100.0,48.15,,,,,,,,,,,,,,
2011-08-07,25.07,8.49,100.0,47.14,,,,,,,,,,,,,,
2011-08-08,24.9,9.62,100.0,51.6,,,,,,,,,,,,,,
2011-08-09,19.04,13.72,100.0,80.4,,,,,,,,,,,,,,
2011-08-10,23.56,16.84,100.0,77.32,,,,,,,,,,,,,,
2011-08-11,19.38,16.18,100.0,86.0,,,,,,,,,,,,,,
2011-08-12,20.0,15.9,100.0,85.5,,,,,,,,,,,,,,
2011-08-13,25.72,13.2,100.0,54.4,,,,,,,,,,,,,,
2011-08-14,32.46,12.29,100.0,51.4,,,,,,,,,,,,,,
2011-08-15,19.6,14.72,100.0,79.47,,,,,,,,,,,,,,
2011-08-16,18.42,14.76,100.0,90.8,,,,,,,,,,,,,,
2011-08-17,27.82,15.99,100.0,62.45,,,,,,,,,,,,,,
2011-08-18,32.11,14.0,100.0,31.57,,,,,,,,,,,,,,
2011-08-19,17.92,15.44,100.0,89.8,,,,,,,,,,,,,,
2011-08-20,24.48,15.56,100.0,63.69,,,,,,,,,,,,,,
2011-08-21,19.44,9.52,100.0,68.66,,,,,,,,,,,,,,
