id,name,area_km2,coverage_pct,rain_total_mm,rain_peak_mm_h,temp_mean_degC,temp_min_degC,temp_max_degC,wind_mean_ms,wind_max_ms,wind_dir_deg,rh2_mean_pct,run_time_utc,window_local,source
25,Itinga,7.73,100.0,1.009,0.188,15.9,10.3,23.2,2.42,6.84,202,72.1,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
5,Espinheiros,2.74,100.0,0.982,0.179,16.9,12.9,23.1,2.94,8.01,177,70.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
32,Profipo,1.61,100.0,0.914,0.163,16.2,11.0,23.3,2.43,6.91,198,70.6,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
17,Aventureiro,9.45,100.0,0.842,0.213,16.9,12.4,23.7,2.87,7.6,177,67.7,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
16,Comasa,2.69,100.0,0.842,0.213,16.9,12.4,23.7,2.87,7.6,177,67.7,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
41,Jardim Iririú,3.34,100.0,0.842,0.213,16.9,12.4,23.7,2.87,7.6,177,67.7,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
37,Iririú,6.17,100.0,0.842,0.213,16.9,12.4,23.7,2.87,7.6,177,67.7,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
3,Paranaguamirim,11.62,100.0,0.822,0.131,16.6,12.6,23.4,2.56,7.28,187,70.3,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
38,Bom Retiro,3.92,100.0,0.81,0.212,16.9,12.3,23.6,2.86,7.58,178,67.5,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
36,Saguaçu,4.81,100.0,0.81,0.196,16.9,12.4,23.7,2.81,7.52,178,67.5,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
15,Zona Industrial Tupy,1.5,100.0,0.805,0.191,16.9,12.5,23.7,2.8,7.5,179,67.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
18,Jardim Sofia,2.16,100.0,0.79,0.211,16.8,12.2,23.6,2.85,7.57,179,67.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
23,Boehmerwald,3.15,100.0,0.745,0.119,16.7,12.2,23.5,2.51,7.03,189,67.8,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
42,Parque Guarani,4.41,100.0,0.741,0.118,16.7,12.3,23.6,2.51,7.03,189,67.7,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
20,Boa Vista,5.39,100.0,0.714,0.139,17.0,12.7,23.7,2.65,7.25,182,66.8,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
43,Santa Catarina,5.37,100.0,0.683,0.102,16.6,11.7,23.4,2.54,7.14,193,67.0,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
1,Jardim Paraiso,3.23,100.0,0.665,0.189,16.2,10.0,23.8,2.71,7.28,193,71.5,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
4,Vila Cubatão,0.36,100.0,0.665,0.189,16.2,10.0,23.8,2.71,7.28,193,71.5,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
11,Ulysses Guimarães,3.23,100.0,0.657,0.106,17.0,12.8,23.7,2.57,7.09,185,66.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
29,Petrópolis,3.07,100.0,0.657,0.106,17.0,12.8,23.7,2.57,7.09,185,66.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
30,Itaum,3.18,100.0,0.657,0.106,17.0,12.8,23.7,2.57,7.09,185,66.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
31,Bucarein,2.05,100.0,0.657,0.106,17.0,12.8,23.7,2.57,7.09,185,66.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
28,João Costa,3.4,100.0,0.657,0.106,17.0,12.8,23.7,2.57,7.09,185,66.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
12,Adhemar Garcia,1.96,100.0,0.657,0.106,17.0,12.8,23.7,2.57,7.09,185,66.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
22,Jarivatuba,2.08,100.0,0.657,0.106,17.0,12.8,23.7,2.57,7.09,185,66.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
13,Fátima,2.2,100.0,0.657,0.106,17.0,12.8,23.7,2.57,7.09,185,66.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
14,Guanabara,2.56,100.0,0.657,0.106,17.0,12.8,23.7,2.57,7.09,185,66.4,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
19,Centro,1.31,100.0,0.648,0.126,16.9,12.6,23.7,2.6,7.16,185,65.9,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
35,América,4.59,100.0,0.644,0.2,16.6,11.7,23.6,2.81,7.46,184,66.0,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
6,Zona Industrial Norte,29.98,100.0,0.609,0.193,16.4,11.3,23.4,2.86,7.53,185,66.6,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
26,Costa E Silva,6.59,100.0,0.601,0.204,16.4,11.3,23.5,2.86,7.47,186,66.0,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
27,Santo Antônio,2.2,100.0,0.601,0.204,16.4,11.3,23.5,2.86,7.47,186,66.0,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
24,Floresta,5.0,100.0,0.598,0.138,16.9,12.4,23.7,2.62,7.17,187,64.6,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
21,Glória,5.39,100.0,0.582,0.183,16.6,11.7,23.6,2.75,7.35,187,64.8,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
33,Anita Garibaldi,3.07,100.0,0.578,0.149,16.9,12.3,23.6,2.64,7.2,187,64.0,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
10,Nova Brasilia,7.82,100.0,0.56,0.159,16.9,12.2,23.6,2.67,7.22,188,63.5,2026-08-21 00:00:00,2026-08-20 22:00 .. 2026-08-23 21:00,CPTEC/INPE WRF AMS 7km
