basin,id,valid_time_local,lead_h,precip_mm_h,accum_mm,t2m_degC,wspd_ms
Bacia Hidrográfica do Palmital,2,2026-08-13 22:00,1,0.001,0.001,17.12,1.75
Bacia Hidrográfica do Palmital,2,2026-08-13 23:00,2,0.036,0.037,16.86,1.02
Bacia Hidrográfica do Palmital,2,2026-08-14 00:00,3,0.052,0.089,16.71,0.5
Bacia Hidrográfica do Palmital,2,2026-08-14 01:00,4,0.072,0.161,16.62,0.75
Bacia Hidrográfica do Palmital,2,2026-08-14 02:00,5,0.113,0.274,16.65,1.2
Bacia Hidrográfica do Palmital,2,2026-08-14 03:00,6,0.187,0.461,16.55,0.58
Bacia Hidrográfica do Palmital,2,2026-08-14 04:00,7,0.121,0.582,16.53,0.76
Bacia Hidrográfica do Palmital,2,2026-08-14 05:00,8,0.087,0.669,16.47,0.64
Bacia Hidrográfica do Palmital,2,2026-08-14 06:00,9,0.199,0.868,16.44,0.96
Bacia Hidrográfica do Palmital,2,2026-08-14 07:00,10,0.293,1.161,16.37,1.71
Bacia Hidrográfica do Palmital,2,2026-08-14 08:00,11,0.646,1.807,16.58,1.28
Bacia Hidrográfica do Palmital,2,2026-08-14 09:00,12,1.48,3.287,17.19,0.89
Bacia Hidrográfica do Palmital,2,2026-08-14 10:00,13,2.324,5.611,17.58,0.11
Bacia Hidrográfica do Palmital,2,2026-08-14 11:00,14,1.807,7.418,18.13,0.83
Bacia Hidrográfica do Palmital,2,2026-08-14 12:00,15,1.225,8.643,18.41,1.47
Bacia Hidrográfica do Palmital,2,2026-08-14 13:00,16,3.755,12.398,18.04,1.17
Bacia Hidrográfica do Palmital,2,2026-08-14 14:00,17,0.26,12.658,18.9,1.17
Bacia Hidrográfica do Palmital,2,2026-08-14 15:00,18,0.068,12.726,18.79,1.79
Bacia Hidrográfica do Palmital,2,2026-08-14 16:00,19,0.224,12.95,18.25,2.32
Bacia Hidrográfica do Palmital,2,2026-08-14 17:00,20,2.001,14.951,17.62,2.34
Bacia Hidrográfica do Palmital,2,2026-08-14 18:00,21,0.724,15.675,17.13,1.64
Bacia Hidrográfica do Palmital,2,2026-08-14 19:00,22,0.668,16.343,16.92,1.51
Bacia Hidrográfica do Palmital,2,2026-08-14 20:00,23,0.113,16.456,16.9,2.12
Bacia Hidrográfica do Palmital,2,2026-08-14 21:00,24,0.031,16.487,16.79,0.97
Bacia Hidrográfica do Palmital,2,2026-08-14 22:00,25,0.023,16.51,16.73,1.06
Bacia Hidrográfica do Palmital,2,2026-08-14 23:00,26,0.076,16.586,16.65,0.36
Bacia Hidrográfica do Palmital,2,2026-08-15 00:00,27,0.085,16.671,16.64,0.46
Bacia Hidrográfica do Palmital,2,2026-08-15 01:00,28,0.106,16.777,16.66,0.2
Bacia Hidrográfica do Palmital,2,2026-08-15 02:00,29,0.089,16.866,16.68,0.79
Bacia Hidrográfica do Palmital,2,2026-08-15 03:00,30,0.632,17.498,16.71,0.92
Bacia Hidrográfica do Palmital,2,2026-08-15 04:00,31,0.19,17.688,16.77,1.27
Bacia Hidrográfica do Palmital,2,2026-08-15 05:00,32,0.241,17.929,16.78,0.59
Bacia Hidrográfica do Palmital,2,2026-08-15 06:00,33,0.96,18.889,16.88,1.0
Bacia Hidrográfica do Palmital,2,2026-08-15 07:00,34,1.523,20.412,17.03,0.86
