run_time,valid_time,lead_h,i,j,lat,lon,rain_mm_h,temp_degC,u10_ms,v10_ms,wind_ms,wind_dir_deg
2026-07-26 00:00:00,2026-07-26 04:00,7,0,0,-26.6114,-49.234,0.0,14.2,0.7,-1.7,1.8,338
2026-07-26 00:00:00,2026-07-26 04:00,7,0,1,-26.6114,-49.164,0.0,13.9,0.6,-1.1,1.2,331
2026-07-26 00:00:00,2026-07-26 04:00,7,0,2,-26.6114,-49.094,0.0,13.5,0.7,-0.5,0.8,306
2026-07-26 00:00:00,2026-07-26 04:00,7,0,3,-26.6114,-49.024,0.0,13.1,0.9,0.0,0.9,270
2026-07-26 00:00:00,2026-07-26 04:00,7,0,4,-26.6114,-48.954,0.01,12.9,1.3,0.1,1.3,266
2026-07-26 00:00:00,2026-07-26 04:00,7,0,5,-26.6114,-48.884,0.01,12.5,1.6,0.3,1.6,259
2026-07-26 00:00:00,2026-07-26 04:00,7,0,6,-26.6114,-48.814,0.02,12.1,1.6,0.3,1.6,259
2026-07-26 00:00:00,2026-07-26 04:00,7,0,7,-26.6114,-48.744,0.02,12.1,1.7,0.2,1.7,263
2026-07-26 00:00:00,2026-07-26 04:00,7,0,8,-26.6114,-48.674,0.02,13.1,2.1,0.2,2.1,265
2026-07-26 00:00:00,2026-07-26 04:00,7,0,9,-26.6114,-48.604,0.01,14.0,2.4,0.2,2.4,265
2026-07-26 00:00:00,2026-07-26 04:00,7,1,0,-26.5414,-49.234,0.0,14.2,1.0,-1.8,2.0,331
2026-07-26 00:00:00,2026-07-26 04:00,7,1,1,-26.5414,-49.164,0.0,14.4,1.0,-1.5,1.8,326
2026-07-26 00:00:00,2026-07-26 04:00,7,1,2,-26.5414,-49.094,0.0,14.2,1.0,-0.8,1.3,309
2026-07-26 00:00:00,2026-07-26 04:00,7,1,3,-26.5414,-49.024,0.0,13.8,1.0,0.0,1.0,270
2026-07-26 00:00:00,2026-07-26 04:00,7,1,4,-26.5414,-48.954,0.0,13.5,1.2,0.3,1.2,256
2026-07-26 00:00:00,2026-07-26 04:00,7,1,5,-26.5414,-48.884,0.01,13.0,1.4,0.4,1.4,254
2026-07-26 00:00:00,2026-07-26 04:00,7,1,6,-26.5414,-48.814,0.02,12.4,1.4,0.4,1.4,254
2026-07-26 00:00:00,2026-07-26 04:00,7,1,7,-26.5414,-48.744,0.03,12.2,1.5,0.2,1.5,262
2026-07-26 00:00:00,2026-07-26 04:00,7,1,8,-26.5414,-48.674,0.02,13.0,2.0,0.1,2.0,267
2026-07-26 00:00:00,2026-07-26 04:00,7,1,9,-26.5414,-48.604,0.02,13.8,2.4,0.2,2.4,265
2026-07-26 00:00:00,2026-07-26 04:00,7,2,0,-26.4714,-49.234,0.0,14.1,1.2,-1.6,2.0,323
2026-07-26 00:00:00,2026-07-26 04:00,7,2,1,-26.4714,-49.164,0.0,14.4,1.2,-1.4,1.8,319
2026-07-26 00:00:00,2026-07-26 04:00,7,2,2,-26.4714,-49.094,0.0,14.2,1.2,-0.7,1.3,300
2026-07-26 00:00:00,2026-07-26 04:00,7,2,3,-26.4714,-49.024,0.0,13.8,1.2,0.1,1.2,265
2026-07-26 00:00:00,2026-07-26 04:00,7,2,4,-26.4714,-48.954,0.0,13.5,1.2,0.4,1.2,252
