code,run_time,valid_time,lead_h,fcst_rain,obs_rain,fcst_temp,obs_temp
flotflux,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,13.8,
flotflux,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.0,,13.9,
flotflux,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,13.7,
flotflux,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.0,,13.5,
flotflux,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.0,,14.8,
flotflux,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.0,,15.9,
flotflux,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,17.4,
flotflux,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,18.9,
flotflux,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.4,
ceasa,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,13.8,
ceasa,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.0,,13.9,
ceasa,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,13.7,
ceasa,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.0,,13.5,
ceasa,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.0,,14.8,
ceasa,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.0,,15.9,
ceasa,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,17.4,
ceasa,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,18.9,
ceasa,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.4,
aguasdejoi,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,13.6,
aguasdejoi,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.01,,13.7,
aguasdejoi,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,13.8,
aguasdejoi,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.01,,13.6,
aguasdejoi,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.01,,14.2,
aguasdejoi,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.01,,16.1,
aguasdejoi,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,17.9,
aguasdejoi,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,19.3,
aguasdejoi,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.4,
cubatao,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,13.7,
cubatao,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.0,,13.0,
cubatao,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,13.0,
cubatao,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.0,,12.9,
cubatao,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.0,,15.4,
cubatao,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.0,,16.5,
cubatao,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,17.4,
cubatao,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,18.8,
cubatao,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.3,
guanabara,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,13.6,
guanabara,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.01,,13.7,
guanabara,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,13.8,
guanabara,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.01,,13.6,
guanabara,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.01,,14.2,
guanabara,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.01,,16.1,
guanabara,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,17.9,
guanabara,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,19.3,
guanabara,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.4,
itaum,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,13.6,
itaum,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.01,,13.7,
itaum,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,13.8,
itaum,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.01,,13.6,
itaum,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.01,,14.2,
itaum,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.01,,16.1,
itaum,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,17.9,
itaum,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,19.3,
itaum,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.4,
iateclube,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,14.0,
iateclube,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.01,,13.9,
iateclube,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,14.0,
iateclube,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.0,,13.7,
iateclube,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.01,,14.5,
iateclube,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.0,,16.0,
iateclube,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,17.6,
iateclube,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,19.0,
iateclube,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.2,
jardimparaiso,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,13.9,
jardimparaiso,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.0,,13.2,
jardimparaiso,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,13.1,
jardimparaiso,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.0,,13.0,
jardimparaiso,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.0,,14.9,
jardimparaiso,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.0,,16.5,
jardimparaiso,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,18.1,
jardimparaiso,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,19.5,
jardimparaiso,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.9,
rodovia,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,13.0,
rodovia,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.0,,13.0,
rodovia,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,12.8,
rodovia,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.0,,12.6,
rodovia,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.0,,14.2,
rodovia,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.0,,16.5,
rodovia,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,18.0,
rodovia,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,19.4,
rodovia,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.6,
udesc,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,13.8,
udesc,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.0,,13.9,
udesc,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,13.7,
udesc,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.0,,13.5,
udesc,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.0,,14.8,
udesc,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.0,,15.9,
udesc,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,17.4,
udesc,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,18.9,
udesc,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.4,
divobras,2026-07-26 00:00:00,2026-07-26 04:00:00,7,0.0,,13.6,
divobras,2026-07-26 00:00:00,2026-07-26 05:00:00,8,0.01,,13.7,
divobras,2026-07-26 00:00:00,2026-07-26 06:00:00,9,0.0,,13.8,
divobras,2026-07-26 00:00:00,2026-07-26 07:00:00,10,0.01,,13.6,
divobras,2026-07-26 00:00:00,2026-07-26 08:00:00,11,0.01,,14.2,
divobras,2026-07-26 00:00:00,2026-07-26 09:00:00,12,0.01,,16.1,
divobras,2026-07-26 00:00:00,2026-07-26 10:00:00,13,0.0,,17.9,
divobras,2026-07-26 00:00:00,2026-07-26 11:00:00,14,0.0,,19.3,
divobras,2026-07-26 00:00:00,2026-07-26 12:00:00,15,0.0,,20.4,
